FCID,LON,LAT,B3,B4,B5,ASPTR,DEM,TPI450,ANNPRE,SLPPCT,SMRTMP,SMRVP,SERIES
35919,-120.7219544,48.95642373,0.173114173,0.223884466,0.09141282,1.8983013069999999,1718.5609129999998,5.8859375,1147.0,30.2,1392.0,73880.0,22
36223,-120.4789884,48.59491158,0.26535287,0.32634536199999997,0.186928205,0.004765044,983.7585957999999,-54.503555299999995,979.0,30.75,1923.5,92000.0,10
36231,-120.36626629999999,48.21898244,0.37590639600000003,0.403040192,0.180869232,1.4753187490000002,2282.752856,61.55791016,1530.0,31.6,1091.0,76680.0,30
36432,-120.224902,48.90922121,0.43692396200000005,0.46290310700000004,0.16044507800000002,0.11088959599999999,2178.9791809999997,2.0271883880000003,1123.0,8.545454545,1117.0,72960.0,30
36638,-120.2495778,48.96117769,0.366665909,0.399675623,0.131787023,1.832305621,2056.563037,-21.43984375,1063.0,10.9,1225.5,73120.0,30
36696,-120.2162858,48.92376969,0.420922835,0.438850251,0.18865870199999998,1.38083424,2052.1692120000002,-5.4682395239999995,1067.0,13.90909091,1245.0,76840.0,30
36697,-120.2157622,48.91255538,0.41996488200000004,0.443915622,0.184065868,1.798671907,2092.3406649999997,9.500688033,1046.0,21.0,1275.5,77760.0,30
36698,-120.21622279999998,48.91163993,0.462596314,0.48262085200000004,0.18525606100000003,1.7214497519999998,2106.62443,19.36686198,1046.0,17.33333333,1275.5,77760.0,30
36699,-120.23359579999999,48.90701896,0.297431061,0.35306941,0.14428792099999999,0.91912626,2166.811255,-14.34543457,1114.0,23.8,1156.0,73800.0,30
36700,-120.2323439,48.91311663,0.323489265,0.37279209,0.152013371,0.264129783,2231.631969,14.51034268,1150.272727,27.27272727,1055.909091,71410.90909,30
36701,-120.2287375,48.91168007,0.46177887,0.48683003799999996,0.18651652600000002,0.217749363,2260.301489,0.47209472700000005,1123.0,22.9,1117.0,72960.0,30
36702,-120.23259250000001,48.90219914,0.479670352,0.494782645,0.170498995,1.997093157,2264.883984,10.32888184,1151.0,38.2,1064.0,71880.0,30
36703,-120.2322972,48.90087896,0.535101108,0.57019728,0.19340408399999998,0.103968764,2284.365173,26.87023926,1151.0,14.0,1064.0,71880.0,30
